# MALDA built-in lookup table - generated by scripts/sync-llm-builtins-tsv.ps1
# Applies to: MALDA 0.1.20
# Columns: name<TAB>preferred call<TAB>arguments (engine wording)<TAB>notes<TAB>returns
# name, call and arguments are derived from the engine. Notes and returns are hand-written.
# An empty arguments cell means the built-in is variadic and accepts any argument count:
# all(...tasks), and the ui* component builders, which take (props?, ...children).
abs	math.abs	1 argument		
acos	math.acos	1 argument		
addDays	addDays	2 arguments: (timestamp, days)		
addHours	addHours	2 arguments: (timestamp, hours)		
all	all			
append	<array>.append	1 argument: (item)	method on the array: items.append(item); not a free function; <array> marks a receiver method, not a namespace	
approveWorkflowStep	approveWorkflowStep	at least 2 arguments: (instanceId, stepId, decision?, payload?)		
argmax	math.argmax	1 argument: (array)		
argmin	math.argmin	1 argument: (array)		
asin	math.asin	1 argument		
assert	assert	1-2 arguments: (condition, message?)	raises on a false condition; useful as an inline smoke check	
atan	math.atan	1 argument		
atan2	math.atan2	2 arguments		
average	math.average	1 argument: (array)		
base64Decode	str.base64Decode	1 argument		
base64Encode	str.base64Encode	1 argument		
bindForm	bindForm	body and fields array		
cancelWorkflow	cancelWorkflow	at least 1 argument: (instanceId, reason?)		
ceil	math.ceil	1 argument	returns a float even when whole-valued; integer sinks coerce whole floats; wrap with int() if you need an Integer-tagged value	
claimJob	claimJob	1-2 arguments: (queue, workerId?)		
clamp	math.clamp	3 arguments		
clearAgentProgress	clearAgentProgress	0 arguments		
compileMALDA	compileMALDA	1-4 arguments: (sourcePath, outputPath?, mode?, embedFolder?)		
completeJob	completeJob	1-2 arguments: (jobId, result?)		
componentFragment	componentFragment	targetId and html string		
componentLiveEmit	componentLiveEmit	channel, payload, optional eventType		
componentStateClear	componentStateClear	zero args (all), one componentId, or componentId + scope		
componentStateConfigure	componentStateConfigure	maxComponents, maxKeysPerComponent, optional ttlMs		
componentStateGet	componentStateGet	componentId, key, optional defaultValue, optional scope		
componentStateObject	componentStateObject	componentId and optional scope		
componentStatePin	componentStatePin	componentId and optional scope		
componentStateSet	componentStateSet	componentId, key, value, optional scope		
componentStateUnpin	componentStateUnpin	componentId and optional scope		
composePipe	composePipe	at least 2 callable steps		
cos	math.cos	1 argument		
createAskUserTool	createAskUserTool	0 arguments		
createCompileMALDATool	createCompileMALDATool	0-1 arguments: (workingDir?)		
createCreateMcpAgentScriptTool	createCreateMcpAgentScriptTool	0-1 arguments: (workingDir?)		
createEditFileTool	createEditFileTool	0-1 arguments: (workingDir?)		
createGetParseErrorsTool	createGetParseErrorsTool	0-1 arguments: (workingDir?)		
createGetSymbolsTool	createGetSymbolsTool	0-1 arguments: (workingDir?)		
createGitAddTool	createGitAddTool	0-1 arguments: (workingDir?)		
createGitBranchTool	createGitBranchTool	0-1 arguments: (workingDir?)		
createGitCheckoutTool	createGitCheckoutTool	0-1 arguments: (workingDir?)		
createGitCommitTool	createGitCommitTool	0-1 arguments: (workingDir?)		
createGitDiffTool	createGitDiffTool	0-1 arguments: (workingDir?)		
createGitLogTool	createGitLogTool	0-1 arguments: (workingDir?)		
createGitPullTool	createGitPullTool	0-1 arguments: (workingDir?)		
createGitPushTool	createGitPushTool	0-1 arguments: (workingDir?)		
createGitStatusTool	createGitStatusTool	0-1 arguments: (workingDir?)		
createGlobTool	createGlobTool	0-1 arguments: (workingDir?)		
createGrepTool	createGrepTool	0-1 arguments: (workingDir?)		
createInsertAtLineTool	createInsertAtLineTool	0-1 arguments: (workingDir?)		
createJwt	createJwt	2 or 3 arguments: (payload, secret, expiresInSeconds? | options?)		
createListDirectoryTool	createListDirectoryTool	0-1 arguments: (workingDir?)		
createMcpAgentScript	createMcpAgentScript	at least 5 arguments: (agentName, agentRole, agentInstructions, tools, outputPath, model?)		
createNativeCallback	createNativeCallback	exactly 1 function argument		
createReadFileTool	createReadFileTool	0-1 arguments: (workingDir?)		
createReplaceInFileTool	createReplaceInFileTool	0-1 arguments: (workingDir?)		
createRunCommandTool	createRunCommandTool	0-1 arguments: (workingDir?)		
createRunMALDATool	createRunMALDATool	0-1 arguments: (workingDir?)		
